Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",25076538,Emergency Food Assistance,Multilateral,Multilateral - United Nations,World Food Program
2023,Economic Development,Agriculture,8000000,Emergency food assistance,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2023,Health,Pandemic Influenza and Other Emerging Threats (PIOET),6100451,Integrated Health Systems Strengthening and Service Delivery Activity (IHSS-SD),NGO,NGO - United States,John Snow International
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",5157625,Humanitarian Assistance - provide rapid response humanitarian assistance in conflict and natural disaster affected areas,NGO,NGO - United States,NGO - United States Redacted
2023,Program Support,Direct Administrative Costs,4044723,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",3988565,Humanitarian Assistance,Multilateral,Multilateral - United Nations,United Nations Children's Fund
2023,"Democracy, Human Rights, and Governance",Good Governance,3598245,PIO grant to UNDP for FATA Reforms Support Activity,Multilateral,Multilateral - United Nations,United Nations Development Programme
2023,Economic Development,Infrastructure,3456387,Power Sector Improvement Activity (PSIA),Enterprises,Enterprises - United States,"Numark Associates, Inc."
2023,"Democracy, Human Rights, and Governance",Civil Society,3406586,Support to Election Commission of Pakistan for Strengthening Electoral and Legislative Processes,Multilateral,Multilateral - United Nations,United Nations Development Programme
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",3281165,Emergency Humanitarian Assistance,NGO,NGO - Non United States,NGO - Non United States Redacted
2023,Economic Development,Infrastructure,3000000,Mangla Dam Rehabilitation Project,Government,Government - Non United States,Government of Pakistan
2023,Education and Social Services,Basic Education,2965488,Sindh Basic Education Program,Government,Government - Non United States,Government of Pakistan - Government of Sindh
2023,Economic Development,Private Sector Competitiveness,2700000,Emergency food assistance,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2023,Education and Social Services,Higher Education,2271858,Higher Education System Strengthening Activity (HESSA),Universities and Research Institutes,Universities and Research Institutes - United States,University of Utah
2023,Peace and Security,Conflict Mitigation and Reconciliation,2000000,Emergency food assistance,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2023,Economic Development,Infrastructure,1959546,FATA Infrastructure Project (FIP),Government,Government - Non United States,Government of Pakistan
2023,Economic Development,Agriculture,1780202,Economic Recovery and Development Activity,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2023,Economic Development,Infrastructure,1711078,Water and Power Development Authority (WAPDA) -Kurram Tangi Dam Project,Government,Government - Non United States,Government of Pakistan - Water and Power Development Authority
2023,Peace and Security,Conflict Mitigation and Reconciliation,1616068,Public International Organization - Federally Administered Tribal Areas (FATA) Community Resilience Activity (CRA),Multilateral,Multilateral - Other,International Organisation for Migration
2023,Education and Social Services,Basic Education,1568583,New Partnerships Initiative: EXPAND (New Partners for Better Health),Enterprises,Enterprises - United States,Futures Group Global
2023,Health,Family Planning and Reproductive Health,1442320,Integrated Health Systems Strengthening and Service Delivery Activity (IHSS-SD),NGO,NGO - United States,John Snow International
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",1428700,Emergency Food Assistance,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted
2023,Economic Development,Agriculture,1380000,The Horticultural Advancement Activity (THAzA),Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2023,Program Support,Direct Administrative Costs,1298458,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
